Date	Trucks	Menus
3/5/2019	Greek on Street, Crab Cab, Tamo Smoothies	https://greekonthestreetbaltimore.com/food-truck-menu/, https://roaminghunger.com/the-crab-cab/, http://www.tamosmoothies.com/services.html
3/12/2019	Firehouse Subs, Spunkie's Soul Food, Tamo Smoothies	https://roaminghunger.com/firehouse-subs-food-truck/, https://www.spunkiessoulfood.com/menus, http://www.tamosmoothies.com/services.html
3/19/2019	Reggae Flava, Pho Wheels, Tamo Smoothies	https://roaminghunger.com/reggae-flava/, http://phowheelsdc.com/menu, http://www.tamosmoothies.com/services.html
3/26/2019	Taco Bar, Chix n Stix, Quinn's Ice	https://www.facebook.com/TacoBarFoodTruck/photos/a.2012217822170617/2012217782170621/?type=3&theater, https://roaminghunger.com/chix-n-stix/, https://quinnsice.com/menu/
	
4/2/2019	Swingers, CapMac, Quinn's Ice
4/9/2019	Jimmy's Seafood, Balkanik Taste, Tamo Smoothies	https://roaminghunger.com/jimmys-famous-seafood/, https://www.balkaniktaste.com/food-truck, http://www.tamosmoothies.com/services.html
4/16/2019	GoGanics, El Pollo Submarine, Ben & Jerry's	https://roaminghunger.com/goganics-organic-food-truck/, https://roaminghunger.com/el-pollo-submarine/, https://roaminghunger.com/ben-jerrys-of-rockville-catering/
4/23/2019	Carnivore BBQ, Holy Crepes, Captain Cookie	https://roaminghunger.com/carnivore-bbq/, https://roaminghunger.com/holy-crepes/, http://foodtruckfiesta.com/captain-cookie-food-truck/
4/30/2019	Greek on the Street, Java Cruiser, IceGreen Snowballs	https://greekonthestreetbaltimore.com/food-truck-menu/, 
	
5/7/2019	El Pollo Submarine, Crab Cab, Tamo Smoothies	https://roaminghunger.com/el-pollo-submarine/, https://roaminghunger.com/the-crab-cab/, http://www.tamosmoothies.com/services.html
5/14/2019	Reggae Flava, Spunkie's Soul Food, Ben & Jerry's
5/21/2019	Taco Bar, Pho Wheels, Quinn's Ice
5/28/2019	Snit:lets, CapMac, Captain Cookie
	
6/4/2019	limmy's Seafood, Chix n Sax, IceGreen Snowballs
6/11/19	Greek on Street, Carnivore BBQ, Camp Fantastic BBQ, Ben & Jerry's
6/18/2019	GoGanics, Firehouse Subs, Tamo Smoothies
6/25/2019	El Polio Submarine, BalkanikTaste, Ben & Jerry's
	
7/2/2019	Taco Bar, Holy Crepes, Quinn's Ice
7/9/2019	Greek on the Street, Spunkie's Soul Food, Captain Cookie
7/16/2019	El Polio Submarine, Java Cruiser, IceGreen Snowballs
7/23/2019	Reggae Flava, Crab Cab, Tamo Smoothies
7/30/2019	Swi::lers, Pho Wheels, Ben & Jerry's
	
8/6/2019	Jimmy's Seafood, BalkanikTaste, Quinn's Ice
8/13/2019	GoGanics, Chix n Stix, Captain Cookie
8/20/2019	Reggae Flava, CapMac, IceGreen Snowballs
8/27/2019	Carnivore BBQ, Java Cruiser, Tamo Smoothies
	
9/3/2019	Greek on the Street, Firehouse Subs, Ben & Jerry's
9/10/2019	El Polio Submarine, Chix n Stix, Quinn's Ice
9/17/2019	Carnivore BBQ, BalkanikTaste, Captain Cookie
9/24/2019	GoGanics, Spunkie's Soul Food, IceGreen Snowballs
	
10/1/2019	Taco Bar, Crab Cab, Tamo Smoothies
10/8/2019	Reggae Flava, lava Cruiser, Ben & Jerry's
10/15/2019	Svvirrlers, Holy Crepes, Quinn's Ice
10/22/2019	Jimmy's Seafood, CapMac, Captain Cookie
10/29/2019	Greek on the Street, Pho Wheels, No Truck
